reg;semaine_glissante;pop;P;T;nom_region
01;2020-10-27-2020-11-02;376879;241;3234;Guadeloupe
01;2020-10-28-2020-11-03;376879;252;3264;Guadeloupe
01;2020-10-29-2020-11-04;376879;238;3251;Guadeloupe
01;2020-10-30-2020-11-05;376879;222;2924;Guadeloupe
01;2020-10-31-2020-11-06;376879;194;2581;Guadeloupe
01;2020-11-01-2020-11-07;376879;192;2483;Guadeloupe
01;2020-11-02-2020-11-08;376879;193;2491;Guadeloupe
01;2020-11-03-2020-11-09;376879;213;2843;Guadeloupe
01;2020-11-04-2020-11-10;376879;186;2608;Guadeloupe
01;2020-11-05-2020-11-11;376879;159;2210;Guadeloupe
01;2020-11-06-2020-11-12;376879;148;2213;Guadeloupe
01;2020-11-07-2020-11-13;376879;134;2166;Guadeloupe
01;2020-11-08-2020-11-14;376879;135;2165;Guadeloupe
01;2020-11-09-2020-11-15;376879;130;2139;Guadeloupe
01;2020-11-10-2020-11-16;376879;122;2032;Guadeloupe
01;2020-11-11-2020-11-17;376879;104;2013;Guadeloupe
01;2020-11-12-2020-11-18;376879;111;2184;Guadeloupe
01;2020-11-13-2020-11-19;376879;106;2146;Guadeloupe
01;2020-11-14-2020-11-20;376879;106;2169;Guadeloupe
01;2020-11-15-2020-11-21;376879;103;2164;Guadeloupe
01;2020-11-16-2020-11-22;376879;110;2169;Guadeloupe
01;2020-11-17-2020-11-23;376879;99;2251;Guadeloupe
01;2020-11-18-2020-11-24;376879;96;2220;Guadeloupe
01;2020-11-19-2020-11-25;376879;89;2175;Guadeloupe
01;2020-11-20-2020-11-26;376879;81;2172;Guadeloupe
01;2020-11-21-2020-11-27;376879;81;2180;Guadeloupe
01;2020-11-22-2020-11-28;376879;80;2211;Guadeloupe
01;2020-11-23-2020-11-29;376879;73;2212;Guadeloupe
01;2020-11-24-2020-11-30;376879;72;2119;Guadeloupe
01;2020-11-25-2020-12-01;376879;74;2134;Guadeloupe
01;2020-11-26-2020-12-02;376879;73;2210;Guadeloupe
01;2020-11-27-2020-12-03;376879;61;2136;Guadeloupe
01;2020-11-28-2020-12-04;376879;49;2121;Guadeloupe
01;2020-11-29-2020-12-05;376879;44;2142;Guadeloupe
01;2020-11-30-2020-12-06;376879;49;2166;Guadeloupe
01;2020-12-01-2020-12-07;376879;48;2210;Guadeloupe
01;2020-12-02-2020-12-08;376879;41;2215;Guadeloupe
01;2020-12-03-2020-12-09;376879;40;2203;Guadeloupe
01;2020-12-04-2020-12-10;376879;43;2212;Guadeloupe
01;2020-12-05-2020-12-11;376879;49;2230;Guadeloupe
01;2020-12-06-2020-12-12;376879;50;2231;Guadeloupe
01;2020-12-07-2020-12-13;376879;47;2199;Guadeloupe
01;2020-12-08-2020-12-14;376879;47;2208;Guadeloupe
01;2020-12-09-2020-12-15;376879;49;2454;Guadeloupe
01;2020-12-10-2020-12-16;376879;52;2580;Guadeloupe
01;2020-12-11-2020-12-17;376879;64;2790;Guadeloupe
01;2020-12-12-2020-12-18;376879;67;2934;Guadeloupe
01;2020-12-13-2020-12-19;376879;73;3018;Guadeloupe
01;2020-12-14-2020-12-20;376879;73;3064;Guadeloupe
01;2020-12-15-2020-12-21;376879;73;3150;Guadeloupe
01;2020-12-16-2020-12-22;376879;72;2939;Guadeloupe
01;2020-12-17-2020-12-23;376879;79;2913;Guadeloupe
01;2020-12-18-2020-12-24;376879;81;2790;Guadeloupe
01;2020-12-19-2020-12-25;376879;72;2398;Guadeloupe
